,0
0,1
1,1
2,0
3,1
4,0
5,1
6,0
7,1
8,0
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,1
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,1
151,1
152,1
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,0
174,0
