"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",0
"11",0
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",0
"24",1
"25",1
"26",1
"27",1
"28",1
"29",0
"30",1
"31",0
"32",0
"33",0
"34",1
"35",1
"36",1
"37",0
"38",0
"39",0
"40",0
"41",1
"42",1
"43",0
"44",0
"45",0
"46",0
"47",0
"48",1
"49",1
"50",0
"51",1
"52",1
"53",1
"54",0
"55",1
"56",0
"57",1
"58",1
"59",1
"60",0
"61",0
"62",0
"63",0
"64",0
"65",1
"66",0
"67",0
"68",1
"69",0
"70",0
"71",0
"72",1
"73",0
"74",0
"75",1
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",1
"84",0
"85",0
"86",0
"87",0
"88",1
"89",1
"90",1
"91",0
"92",1
"93",1
"94",0
"95",1
"96",1
"97",0
"98",0
"99",1
"100",0
"101",1
"102",0
"103",1
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",1
"111",0
"112",0
"113",0
"114",1
"115",1
"116",1
"117",0
"118",1
"119",1
"120",0
"121",0
"122",1
"123",1
"124",0
"125",1
"126",0
"127",0
"128",1
"129",1
"130",0
"131",1
"132",0
"133",1
"134",0
"135",0
"136",1
"137",0
"138",0
"139",1
"140",1
"141",1
"142",1
"143",0
"144",1
"145",1
"146",1
"147",0
"148",1
"149",0
"150",1
"151",0
"152",1
"153",1
"154",1
"155",0
"156",1
"157",1
"158",0
"159",0
"160",0
"161",0
"162",0
"163",1
"164",0
"165",1
"166",0
"167",1
"168",1
"169",0
"170",1
"171",0
"172",0
"173",0
"174",0
"175",1
"176",0
"177",0
"178",0
"179",0
"180",1
"181",0
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",1
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",1
"199",1
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",1
"210",0
"211",1
"212",1
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",1
"226",0
"227",0
"228",1
"229",1
"230",1
"231",0
"232",0
"233",0
"234",0
"235",1
"236",0
"237",1
"238",0
"239",0
"240",1
"241",0
"242",0
"243",0
"244",0
"245",0
"246",1
"247",1
"248",0
"249",0
"250",0
"251",0
"252",0
"253",1
"254",1
"255",1
"256",0
"257",1
"258",1
"259",0
"260",0
"261",0
"262",1
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",1
"271",0
"272",0
"273",1
"274",0
"275",0
"276",0
"277",1
"278",0
"279",0
"280",0
"281",0
"282",0
"283",1
"284",0
"285",0
"286",0
"287",0
"288",1
"289",0
"290",1
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",1
"301",0
"302",1
"303",0
"304",1
"305",0
"306",0
"307",1
"308",0
"309",0
"310",1
"311",0
"312",1
"313",0
"314",1
"315",0
"316",1
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",1
"324",0
"325",0
"326",0
"327",0
"328",1
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",1
"339",1
"340",0
"341",0
"342",1
"343",0
"344",0
"345",0
"346",0
"347",1
"348",1
"349",0
"350",1
"351",0
"352",0
"353",0
"354",0
"355",1
"356",0
"357",0
"358",1
"359",0
"360",1
"361",0
"362",1
"363",1
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",1
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",0
"390",0
"391",0
"392",0
"393",0
"394",1
"395",1
"396",1
"397",1
"398",1
"399",0
